91949,111,48040
93841,120,46139
95673,143,44282
97279,184,42633
98906,229,40962
100407,271,39419
101939,308,37854
103284,395,36418
104570,478,35046
105788,592,33714
106799,739,32554
107693,884,31515
108447,1107,30530
109055,1384,29647
109484,1687,28916
109704,2069,28319
109600,2627,27865
109096,3346,27647
108315,4146,27622
107202,5045,27834
105530,6135,28424
103393,7362,29335
100766,8730,30597
97588,10157,32352
93992,11687,34425
90011,13058,37035
85727,14591,39788
81420,15678,43002
76995,16604,46499
73065,16864,50178
69618,16742,53744
66593,16179,57333
64267,15371,60467
62635,14184,63293
61727,12995,65398
61222,11699,67203
61469,10336,68314
62041,9125,68961
62859,8074,69195
64004,6989,69133
65371,6097,68654
66851,5409,67861
68497,4682,66937
70290,3982,65842
72219,3447,64446
74241,2959,62920
76213,2576,61336
78213,2214,59701
80131,1975,58023
82056,1692,56385
83900,1501,54729
85724,1315,53087
87555,1235,51329
89271,1101,49752
91048,967,48111
92679,926,46528
94338,822,44973
95887,769,43474
97475,737,41916
98997,673,40459
100441,636,39045
101799,615,37709
103122,614,36390
104352,598,35184
105606,569,33958
106804,578,32753
107890,581,31661
108948,602,30577
109975,590,29562
110935,646,28548
111876,638,27614
112780,615,26731
113637,633,25854
114416,661,25052
115209,643,24281
115913,688,23531
116558,724,22845
117095,827,22198
117600,933,21586
118069,1032,21019
118479,1109,20530
118774,1172,20172
119016,1325,19780
119214,1444,19459
119329,1665,19124
119398,1838,18885
119220,2143,18753
118901,2495,18715
118407,2906,18806
117789,3312,19018
116920,3878,19321
115839,4454,19821
114405,5168,20540
112694,6007,21417
110762,6797,22563
108460,7754,23909
105967,8663,25490
103143,9613,27369
100112,10594,29415
96802,11665,31659
93419,12424,34289
89969,13039,37121
86529,13668,39934
83461,13844,42826
80592,13839,45697
78031,13529,48577
75937,13065,51140
74290,12514,53339
72996,11749,55399
72030,10982,57132
71439,10131,58574
71362,9138,59646
71532,8328,60285
71965,7438,60744
72727,6654,60769
73736,6012,60398
74824,5252,60070
76039,4647,59461
77304,4148,58700
78673,3669,57812
80129,3379,56647
81613,2976,55561
83089,2652,54406
84576,2341,53233
86213,2041,51897
