0,-0.00010391,-0.00041136,-0.00091613,-0.0016122,-0.0024939,-0.0035555,-0.0047918,-0.0061974,-0.0077675,-0.009497,-0.011381,-0.013416,-0.015596,-0.017918,-0.020377,-0.022969,-0.02569,-0.028536,-0.031503,-0.034589,-0.037788,-0.041099,-0.044516,-0.048037,-0.051659,-0.055378,-0.059192,-0.063097,-0.06709,-0.071168,-0.075329,-0.07957,-0.083888,-0.08828,-0.092743,-0.097276,-0.10188,-0.10654,-0.11126,-0.11605,-0.12089,-0.12579,-0.13074,-0.13573,-0.14078,-0.14587,-0.15101,-0.15619,-0.1614,-0.16666,-0.17195,-0.17727,-0.18263,-0.18801,-0.19342,-0.19886,-0.20432,-0.2098,-0.21531,-0.22083,-0.22636,-0.23191,-0.23747,-0.24304,-0.24862,-0.25421,-0.2598,-0.26539,-0.27098,-0.27657,-0.28216,-0.28774,-0.29331,-0.29887,-0.30442,-0.30996,-0.31548,-0.32097,-0.32645,-0.3319,-0.33733,-0.34273,-0.34809,-0.35342,-0.35872,-0.36397,-0.36918,-0.37434,-0.37946,-0.38452,-0.38953,-0.39447,-0.39936,-0.40417,-0.40892,-0.41359,-0.41818,-0.42269,-0.4271,-0.43143,-0.43565,-0.43978,-0.44379,-0.44768,-0.45146,-0.4551,-0.45862,-0.46199,-0.4652,-0.46827,-0.47116,-0.47389,-0.47643,-0.47877,-0.48092,-0.48285,-0.48456,-0.48604,-0.48727,-0.48824,-0.48894,-0.48936,-0.48947,-0.48928,-0.48876,-0.4879,-0.48668,-0.4851,-0.48312,-0.48075,-0.47796,-0.47474,-0.47107,-0.46695,-0.46236,-0.45729,-0.45173,-0.44567,-0.43912,-0.43208,-0.42454,-0.41651,-0.40801,-0.39904,-0.38964,-0.37983,-0.36964,-0.3591,-0.34825,-0.33714,-0.32582,-0.31433,-0.30273,-0.29106,-0.27938,-0.26775,-0.25619,-0.24477,-0.23353,-0.22249,-0.21171,-0.20119,-0.19097,-0.18107,-0.1715,-0.16228,-0.1534,-0.14489,-0.13673,-0.12892,-0.12147,-0.11437,-0.1076,-0.10117,-0.095061,-0.089263,-0.083767,-0.078562,-0.073636,-0.068979,-0.064578,-0.060424,-0.056505,-0.052809,-0.049327,-0.046048,-0.042962,-0.040059,-0.03733,-0.034767,-0.03236,-0.030102,-0.027984,-0.025998,-0.024138,-0.022397,-0.020768,-0.019245,-0.017821,-0.016492,-0.015251,-0.014093,-0.013014,-0.012009,-0.011074,-0.010204,-0.0093951,-0.0086437,-0.0079464,-0.0072995,-0.0067,-0.0061449,-0.0056311,-0.0051561,-0.0047172,-0.004312,-0.0039383,-0.003594,-0.0032768,-0.0029851,-0.0027169,-0.0024706,-0.0022446,-0.0020375,-0.0018477,-0.0016741,-0.0015154,-0.0013704,-0.0012382,-0.0011176,-0.0010078,-0.00090792,-0.00081714,-0.00073471,-0.00065995,-0.00059221,-0.00053089,-0.00047544,-0.00042535,-0.00038015,-0.00033941,-0.00030273,-0.00026973,-0.00024007,-0.00021346,-0.0001896,-0.00016822,-0.0001491,-0.00013201,-0.00011676,-0.00010315,-9.1039e-05,-8.0259e-05,-7.0678e-05,-6.2173e-05,-5.4632e-05,-4.7953e-05,-4.2043e-05,-3.6821e-05,-3.2212e-05,-2.8148e-05,-2.457e-05,-2.1422e-05,-1.8656e-05,-1.6229e-05,-1.4102e-05,-1.2239e-05,-1.061e-05,-9.1878e-06,-7.9467e-06,-6.8654e-06,-5.9243e-06,-5.1062e-06,-4.3959e-06,-3.78e-06,-3.2465e-06,-2.785e-06,-2.3863e-06,-2.0423e-06,-1.7457e-06,-1.4904e-06,-1.2709e-06,-1.0825e-06,-9.2081e-07,-7.8236e-07,-6.6391e-07,-5.627e-07,-4.7634e-07,-4.0273e-07,-3.4008e-07,-2.8682e-07,-2.416e-07,-2.0325e-07,-1.7078e-07,-1.4331e-07,-1.2011e-07,-1.0054e-07,-8.4048e-08,-7.0174e-08,-5.8515e-08,-4.8731e-08,-4.053e-08,-3.3666e-08,-2.7928e-08,-2.3139e-08,-1.9145e-08,-1.582e-08,-1.3056e-08,-1.076e-08,-8.8566e-09,-7.2801e-09,-5.9762e-09,-4.8994e-09,-4.0112e-09,-3.2797e-09,-2.6779e-09,-2.1837e-09,-1.7782e-09,-1.4461e-09,-1.1744e-09,-9.5245e-10,-7.7139e-10,-6.239e-10,-5.0391e-10,-4.0644e-10,-3.2736e-10,-2.6332e-10,-2.1149e-10,-1.6964e-10,-1.3588e-10,-1.0868e-10,-8.6802e-11,-6.9235e-11,-5.5146e-11,-4.3864e-11,-3.4837e-11,-2.7625e-11,-2.1881e-11,-1.7296e-11,-1.3664e-11,-1.0766e-11,-8.487e-12,-6.6711e-12,-5.2416e-12,-4.1083e-12,-3.2068e-12,-2.5113e-12,-1.9575e-12,-1.5326e-12,-1.1848e-12,-9.2726e-13,-7.212e-13,-5.5378e-13,-4.2499e-13,-3.3484e-13,-2.5757e-13,-1.9318e-13,-1.5454e-13,-1.1591e-13,-9.015e-14,-6.4393e-14,-5.1514e-14,-3.8636e-14,-2.5757e-14,-2.5757e-14,-1.2879e-14,-1.2879e-14,-1.2879e-14,-1.2879e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18607,0.18196,0.17779,0.17356,0.16926,0.1649,0.16048,0.156,0.15146,0.14685,0.14219,0.13747,0.13269,0.12785,0.12295,0.118,0.11299,0.10793,0.10282,0.097648,0.092429,0.087159,0.08184,0.076472,0.071056,0.065594,0.060087,0.054536,0.048941,0.043304,0.037627,0.03191,0.026154,0.020361,0.014531,0.0086667,0.0027683,-0.0031629,-0.0091255,-0.015118,-0.021141,-0.027191,-0.033267,-0.03937,-0.045496,-0.051646,-0.057817,-0.064009,-0.07022,-0.07645,-0.082696,-0.088958,-0.095235,-0.10152,-0.10782,-0.11414,-0.12046,-0.12679,-0.13312,-0.13946,-0.14581,-0.15215,-0.1585,-0.16485,-0.17119,-0.17753,-0.18387,-0.1902,-0.19652,-0.20284,-0.20914,-0.21543,-0.2217,-0.22796,-0.2342,-0.24043,-0.24663,-0.2528,-0.25895,-0.26507,-0.27117,-0.27723,-0.28326,-0.28925,-0.2952,-0.30111,-0.30698,-0.3128,-0.31857,-0.32428,-0.32995,-0.33555,-0.34109,-0.34657,-0.35198,-0.35732,-0.36258,-0.36776,-0.37285,-0.37786,-0.38277,-0.38758,-0.39229,-0.39689,-0.40138,-0.40574,-0.40998,-0.41409,-0.41805,-0.42187,-0.42554,-0.42904,-0.43237,-0.43552,-0.43849,-0.44125,-0.44381,-0.44615,-0.44826,-0.45013,-0.45174,-0.4531,-0.45417,-0.45496,-0.45544,-0.4556,-0.45544,-0.45492,-0.45404,-0.45279,-0.45115,-0.4491,-0.44663,-0.44373,-0.44038,-0.43658,-0.4323,-0.42756,-0.42232,-0.41661,-0.4104,-0.40371,-0.39654,-0.38891,-0.38081,-0.37229,-0.36334,-0.35402,-0.34434,-0.33435,-0.32408,-0.31358,-0.30289,-0.29207,-0.28115,-0.2702,-0.25925,-0.24836,-0.23757,-0.22691,-0.21643,-0.20616,-0.19613,-0.18635,-0.17687,-0.16768,-0.15881,-0.15025,-0.14203,-0.13414,-0.12658,-0.11935,-0.11245,-0.10587,-0.099602,-0.093642,-0.087981,-0.082608,-0.077515,-0.07269,-0.068124,-0.063807,-0.059727,-0.055875,-0.05224,-0.048813,-0.045584,-0.042543,-0.039681,-0.036989,-0.034459,-0.032082,-0.029851,-0.027757,-0.025794,-0.023954,-0.022231,-0.020618,-0.01911,-0.0177,-0.016382,-0.015152,-0.014005,-0.012935,-0.011938,-0.01101,-0.010146,-0.0093432,-0.0085972,-0.0079047,-0.0072622,-0.0066666,-0.0061149,-0.0056043,-0.0051321,-0.0046958,-0.0042929,-0.0039213,-0.0035787,-0.0032633,-0.002973,-0.0027062,-0.0024611,-0.0022362,-0.0020299,-0.001841,-0.0016682,-0.0015101,-0.0013658,-0.0012341,-0.001114,-0.0010046,-0.00090511,-0.00081466,-0.00073254,-0.00065804,-0.00059053,-0.00052941,-0.00047415,-0.00042422,-0.00037917,-0.00033855,-0.00030197,-0.00026907,-0.0002395,-0.00021296,-0.00018916,-0.00016785,-0.00014877,-0.00013173,-0.00011651,-0.00010294,-9.0855e-05,-8.01e-05,-7.0541e-05,-6.2056e-05,-5.4531e-05,-4.7866e-05,-4.1969e-05,-3.6757e-05,-3.2157e-05,-2.8101e-05,-2.4529e-05,-2.1387e-05,-1.8627e-05,-1.6204e-05,-1.408e-05,-1.2221e-05,-1.0595e-05,-9.1748e-06,-7.9358e-06,-6.8561e-06,-5.9164e-06,-5.0995e-06,-4.3903e-06,-3.7753e-06,-3.2426e-06,-2.7817e-06,-2.3835e-06,-2.0399e-06,-1.7437e-06,-1.4888e-06,-1.2696e-06,-1.0813e-06,-9.1986e-07,-7.8157e-07,-6.6325e-07,-5.6216e-07,-4.7589e-07,-4.0236e-07,-3.3977e-07,-2.8656e-07,-2.4138e-07,-2.0307e-07,-1.7063e-07,-1.4319e-07,-1.2001e-07,-1.0046e-07,-8.3983e-08,-7.0121e-08,-5.8471e-08,-4.8695e-08,-4.0501e-08,-3.3643e-08,-2.7909e-08,-2.3123e-08,-1.9133e-08,-1.581e-08,-1.3048e-08,-1.0754e-08,-8.8512e-09,-7.2758e-09,-5.9728e-09,-4.8966e-09,-4.009e-09,-3.2779e-09,-2.6765e-09,-2.1825e-09,-1.7773e-09,-1.4454e-09,-1.1738e-09,-9.52e-10,-7.7103e-10,-6.2361e-10,-5.0368e-10,-4.0626e-10,-3.2722e-10,-2.632e-10,-2.1141e-10,-1.6957e-10,-1.3582e-10,-1.0864e-10,-8.6776e-11,-6.921e-11,-5.512e-11,-4.3839e-11,-3.4824e-11,-2.7612e-11,-2.1868e-11,-1.7296e-11,-1.3651e-11,-1.0766e-11,-8.4741e-12,-6.6711e-12,-5.2287e-12,-4.1083e-12,-3.2068e-12,-2.5113e-12,-1.9575e-12,-1.5326e-12,-1.1848e-12,-9.2726e-13,-7.212e-13,-5.5378e-13,-4.2499e-13,-3.3484e-13,-2.5757e-13,-1.9318e-13,-1.5454e-13,-1.1591e-13,-9.015e-14,-6.4393e-14,-5.1514e-14,-3.8636e-14,-2.5757e-14,-2.5757e-14,-1.2879e-14,-1.2879e-14,-1.2879e-14,-1.2879e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.271,0.26633,0.2616,0.2568,0.25193,0.24699,0.242,0.23693,0.23181,0.22662,0.22137,0.21607,0.21071,0.20529,0.19981,0.19428,0.1887,0.18307,0.17739,0.17165,0.16587,0.16005,0.15418,0.14826,0.1423,0.1363,0.13026,0.12418,0.11806,0.1119,0.10571,0.099478,0.093217,0.086923,0.080598,0.074242,0.067858,0.061446,0.055007,0.048543,0.042054,0.035542,0.029008,0.022453,0.015878,0.0092845,0.0026733,-0.0039543,-0.010597,-0.017254,-0.023924,-0.030606,-0.037298,-0.044,-0.05071,-0.057427,-0.06415,-0.070877,-0.077609,-0.084342,-0.091076,-0.09781,-0.10454,-0.11127,-0.118,-0.12472,-0.13143,-0.13813,-0.14483,-0.15151,-0.15818,-0.16483,-0.17147,-0.1781,-0.1847,-0.19128,-0.19784,-0.20438,-0.21088,-0.21737,-0.22382,-0.23023,-0.23662,-0.24296,-0.24927,-0.25554,-0.26176,-0.26794,-0.27407,-0.28014,-0.28617,-0.29213,-0.29804,-0.30388,-0.30965,-0.31535,-0.32098,-0.32653,-0.332,-0.33738,-0.34266,-0.34786,-0.35295,-0.35794,-0.36281,-0.36757,-0.3722,-0.37671,-0.38108,-0.38531,-0.38939,-0.39331,-0.39706,-0.40064,-0.40404,-0.40725,-0.41025,-0.41305,-0.41562,-0.41796,-0.42006,-0.4219,-0.42347,-0.42476,-0.42576,-0.42645,-0.42681,-0.42685,-0.42653,-0.42585,-0.42479,-0.42334,-0.42148,-0.4192,-0.41649,-0.41333,-0.40973,-0.40566,-0.40112,-0.39611,-0.39063,-0.38467,-0.37824,-0.37136,-0.36403,-0.35626,-0.34809,-0.33953,-0.33062,-0.32139,-0.31187,-0.30211,-0.29215,-0.28204,-0.27181,-0.26152,-0.25121,-0.24092,-0.23071,-0.2206,-0.21063,-0.20084,-0.19126,-0.18191,-0.17281,-0.16399,-0.15545,-0.1472,-0.13926,-0.13162,-0.1243,-0.11728,-0.11058,-0.10417,-0.098066,-0.092252,-0.086723,-0.081471,-0.076486,-0.07176,-0.067283,-0.063047,-0.05904,-0.055254,-0.051679,-0.048306,-0.045126,-0.042129,-0.039307,-0.036652,-0.034154,-0.031807,-0.029602,-0.027533,-0.025592,-0.023772,-0.022067,-0.02047,-0.018976,-0.017579,-0.016274,-0.015055,-0.013917,-0.012856,-0.011867,-0.010946,-0.010089,-0.0092917,-0.008551,-0.0078632,-0.007225,-0.0066333,-0.0060851,-0.0055776,-0.0051083,-0.0046745,-0.0042739,-0.0039043,-0.0035636,-0.0032498,-0.002961,-0.0026955,-0.0024516,-0.0022277,-0.0020224,-0.0018344,-0.0016623,-0.0015049,-0.0013612,-0.00123,-0.0011104,-0.0010014,-0.00090231,-0.0008122,-0.00073037,-0.00065613,-0.00058885,-0.00052795,-0.00047286,-0.00042309,-0.00037818,-0.00033769,-0.00030122,-0.00026841,-0.00023893,-0.00021246,-0.00018873,-0.00016747,-0.00014845,-0.00013145,-0.00011627,-0.00010273,-9.0672e-05,-7.9942e-05,-7.0405e-05,-6.1938e-05,-5.443e-05,-4.7779e-05,-4.1894e-05,-3.6693e-05,-3.2102e-05,-2.8054e-05,-2.4489e-05,-2.1353e-05,-1.8598e-05,-1.6179e-05,-1.4059e-05,-1.2203e-05,-1.058e-05,-9.1619e-06,-7.9248e-06,-6.8468e-06,-5.9086e-06,-5.0929e-06,-4.3847e-06,-3.7706e-06,-3.2386e-06,-2.7784e-06,-2.3807e-06,-2.0376e-06,-1.7418e-06,-1.4871e-06,-1.2682e-06,-1.0802e-06,-9.1891e-07,-7.8078e-07,-6.6259e-07,-5.6161e-07,-4.7543e-07,-4.0198e-07,-3.3946e-07,-2.863e-07,-2.4117e-07,-2.029e-07,-1.7049e-07,-1.4307e-07,-1.1992e-07,-1.0038e-07,-8.3918e-08,-7.0067e-08,-5.8428e-08,-4.866e-08,-4.0472e-08,-3.3619e-08,-2.789e-08,-2.3108e-08,-1.912e-08,-1.58e-08,-1.3039e-08,-1.0747e-08,-8.8459e-09,-7.2715e-09,-5.9693e-09,-4.8939e-09,-4.0068e-09,-3.2761e-09,-2.6751e-09,-2.1814e-09,-1.7764e-09,-1.4446e-09,-1.1733e-09,-9.5153e-10,-7.7067e-10,-6.2332e-10,-5.0345e-10,-4.0607e-10,-3.2708e-10,-2.6308e-10,-2.1132e-10,-1.6951e-10,-1.3577e-10,-1.0859e-10,-8.6737e-11,-6.9184e-11,-5.5107e-11,-4.3826e-11,-3.4811e-11,-2.7612e-11,-2.1868e-11,-1.7283e-11,-1.3651e-11,-1.0766e-11,-8.4741e-12,-6.6582e-12,-5.2287e-12,-4.0954e-12,-3.2068e-12,-2.5113e-12,-1.9575e-12,-1.5326e-12,-1.1848e-12,-9.2726e-13,-7.212e-13,-5.5378e-13,-4.2499e-13,-3.3484e-13,-2.5757e-13,-1.9318e-13,-1.5454e-13,-1.1591e-13,-9.015e-14,-6.4393e-14,-5.1514e-14,-3.8636e-14,-2.5757e-14,-2.5757e-14,-1.2879e-14,-1.2879e-14,-1.2879e-14,-1.2879e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3185,0.31412,0.30965,0.30508,0.30042,0.29567,0.29082,0.28589,0.28087,0.27578,0.2706,0.26535,0.26002,0.25462,0.24916,0.24362,0.23802,0.23235,0.22662,0.22083,0.21499,0.20909,0.20313,0.19712,0.19106,0.18495,0.1788,0.17259,0.16635,0.16006,0.15373,0.14736,0.14096,0.13451,0.12803,0.12152,0.11498,0.1084,0.1018,0.095168,0.088509,0.081824,0.075115,0.068384,0.061631,0.054857,0.048065,0.041254,0.034427,0.027585,0.020729,0.01386,0.006979,8.7897e-05,-0.0068124,-0.013721,-0.020635,-0.027556,-0.03448,-0.041407,-0.048336,-0.055266,-0.062194,-0.06912,-0.076043,-0.082961,-0.089872,-0.096776,-0.10367,-0.11055,-0.11743,-0.12428,-0.13113,-0.13795,-0.14476,-0.15155,-0.15832,-0.16506,-0.17178,-0.17847,-0.18513,-0.19176,-0.19836,-0.20493,-0.21145,-0.21794,-0.22438,-0.23078,-0.23713,-0.24344,-0.24969,-0.25588,-0.26202,-0.26809,-0.2741,-0.28004,-0.28591,-0.29171,-0.29742,-0.30305,-0.3086,-0.31405,-0.3194,-0.32466,-0.3298,-0.33483,-0.33974,-0.34453,-0.34919,-0.35371,-0.35808,-0.36231,-0.36637,-0.37027,-0.37399,-0.37752,-0.38086,-0.384,-0.38693,-0.38962,-0.39209,-0.3943,-0.39626,-0.39795,-0.39935,-0.40045,-0.40125,-0.40172,-0.40186,-0.40164,-0.40106,-0.4001,-0.39874,-0.39699,-0.39481,-0.39221,-0.38917,-0.38568,-0.38174,-0.37733,-0.37247,-0.36715,-0.36138,-0.35515,-0.34849,-0.3414,-0.33392,-0.32605,-0.31782,-0.30927,-0.30044,-0.29135,-0.28205,-0.27257,-0.26298,-0.25329,-0.24357,-0.23385,-0.22417,-0.21456,-0.20508,-0.19574,-0.18659,-0.17763,-0.1689,-0.16042,-0.15219,-0.14424,-0.13656,-0.12917,-0.12207,-0.11526,-0.10874,-0.10251,-0.096562,-0.09089,-0.08549,-0.080354,-0.075475,-0.070845,-0.066456,-0.062298,-0.058363,-0.054641,-0.051125,-0.047805,-0.044673,-0.04172,-0.038937,-0.036317,-0.033852,-0.031534,-0.029356,-0.027311,-0.025391,-0.023591,-0.021903,-0.020323,-0.018843,-0.01746,-0.016166,-0.014958,-0.013829,-0.012777,-0.011796,-0.010882,-0.010032,-0.0092404,-0.008505,-0.0078219,-0.007188,-0.0066001,-0.0060554,-0.0055511,-0.0050845,-0.0046532,-0.0042549,-0.0038874,-0.0035485,-0.0032364,-0.002949,-0.0026848,-0.0024421,-0.0022193,-0.002015,-0.0018278,-0.0016564,-0.0014997,-0.0013566,-0.0012259,-0.0011068,-0.00099828,-0.00089952,-0.00080974,-0.00072821,-0.00065423,-0.00058718,-0.00052648,-0.00047158,-0.00042197,-0.0003772,-0.00033683,-0.00030047,-0.00026776,-0.00023836,-0.00021197,-0.0001883,-0.00016709,-0.00014812,-0.00013116,-0.00011602,-0.00010252,-9.0489e-05,-7.9784e-05,-7.0269e-05,-6.1821e-05,-5.4329e-05,-4.7692e-05,-4.182e-05,-3.6629e-05,-3.2048e-05,-2.8008e-05,-2.4449e-05,-2.1319e-05,-1.8568e-05,-1.6154e-05,-1.4038e-05,-1.2185e-05,-1.0565e-05,-9.1489e-06,-7.9138e-06,-6.8375e-06,-5.9007e-06,-5.0863e-06,-4.3792e-06,-3.7659e-06,-3.2347e-06,-2.7751e-06,-2.378e-06,-2.0352e-06,-1.7398e-06,-1.4855e-06,-1.2668e-06,-1.079e-06,-9.1796e-07,-7.7999e-07,-6.6194e-07,-5.6107e-07,-4.7498e-07,-4.0161e-07,-3.3915e-07,-2.8605e-07,-2.4096e-07,-2.0273e-07,-1.7035e-07,-1.4296e-07,-1.1982e-07,-1.003e-07,-8.3853e-08,-7.0014e-08,-5.8385e-08,-4.8624e-08,-4.0444e-08,-3.3596e-08,-2.7871e-08,-2.3092e-08,-1.9108e-08,-1.579e-08,-1.3031e-08,-1.074e-08,-8.8405e-09,-7.2672e-09,-5.9659e-09,-4.8911e-09,-4.0046e-09,-3.2743e-09,-2.6737e-09,-2.1803e-09,-1.7755e-09,-1.4439e-09,-1.1727e-09,-9.5108e-10,-7.7031e-10,-6.2304e-10,-5.0323e-10,-4.0589e-10,-3.2694e-10,-2.6298e-10,-2.1123e-10,-1.6943e-10,-1.3571e-10,-1.0855e-10,-8.6712e-11,-6.9158e-11,-5.5082e-11,-4.3813e-11,-3.4798e-11,-2.7599e-11,-2.1855e-11,-1.7283e-11,-1.3651e-11,-1.0766e-11,-8.4741e-12,-6.6582e-12,-5.2287e-12,-4.0954e-12,-3.2068e-12,-2.5113e-12,-1.9575e-12,-1.5326e-12,-1.1848e-12,-9.2726e-13,-7.212e-13,-5.5378e-13,-4.2499e-13,-3.3484e-13,-2.5757e-13,-1.9318e-13,-1.5454e-13,-1.1591e-13,-9.015e-14,-6.4393e-14,-5.1514e-14,-3.8636e-14,-2.5757e-14,-2.5757e-14,-1.2879e-14,-1.2879e-14,-1.2879e-14,-1.2879e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
