89923,132,42
89829,179,87
89675,284,140
89468,405,222
89173,585,335
88752,829,508
88152,1151,779
87368,1582,1128
86323,2147,1604
84911,2893,2277
82997,3889,3190
80434,5342,4302
77178,7021,5875
73171,8960,7947
68558,10992,10534
63077,13237,13771
57399,15106,17584
51580,16579,21933
46367,17141,26589
41877,16957,31268
38366,16005,35731
35786,14674,39639
34122,13025,42957
33265,11279,45562
33131,9526,47451
33572,8012,48523
34327,6523,49257
35403,5275,49426
36624,4348,49129
38074,3431,48600
39620,2758,47725
41216,2185,46699
42762,1734,45599
44347,1390,44365
46004,1099,43002
47583,904,41615
49096,724,40287
50637,558,38911
52177,439,37494
53654,351,36110
55081,283,34746
