903844,141,95994
907549,188,92234
911152,255,88579
914542,321,85094
917809,401,81743
920854,530,78561
923700,701,75535
926211,946,72769
928368,1310,70234
930285,1776,67843
931842,2397,65676
932914,3190,63804
933259,4290,62365
932902,5705,61307
931484,7637,60783
928931,10094,60880
924514,13485,61915
917883,18064,63954
908748,23800,67350
895730,31517,72660
878340,41341,80245
855633,53701,90600
826893,68018,105018
791272,85047,123597
749108,103652,147154
701326,122760,175848
650280,140072,209592
597477,154597,247863
547000,163725,289196
500716,166938,332253
461562,164212,374125
430757,155433,413704
408366,143077,448485
394161,127530,478229
387094,111446,501374
385653,95789,518462
388789,81161,529948
395998,68279,535641
405919,56989,537008
418091,47326,534522
432204,39379,528355
447313,32486,520143
462939,26703,510297
478997,21954,499004
495700,18198,486073
512122,15094,472746
528268,12593,459102
544559,10591,444802
560490,8925,430537
576162,7587,416189
591534,6320,402096
606439,5399,388119
621005,4656,374303
635246,4001,360716
648979,3444,347540
662266,3015,334686
674767,2665,322525
687323,2350,310279
699479,2056,298431
710952,1849,287152
722047,1691,276215
732608,1467,265868
743134,1374,255439
752820,1294,245819
762341,1239,236351
771249,1144,227526
780118,1067,218715
788653,999,210248
796886,986,202036
804709,930,194285
812248,899,186784
819389,893,179652
826341,891,172716
832923,874,166148
839300,844,159814
845330,854,153768
851040,902,147997
856566,975,142393
861784,1027,137134
866921,1107,131934
871687,1193,127058
876415,1317,122221
880789,1456,117710
884800,1619,113532
888621,1856,109478
892146,2105,105684
895462,2403,102057
898285,2787,98857
900808,3233,95891
903105,3785,93020
905052,4420,90436
906462,5209,88238
907370,6201,86333
907495,7439,85000
906796,8983,84150
905313,10712,83891
902765,13151,83998
899020,15939,84952
893797,19273,86831
886928,23161,89807
878093,27892,93896
866823,33392,99661
853169,40226,106493
836089,48222,115584
816108,56798,126998
792390,66698,140795
765620,76794,157469
735989,87144,176763
703977,97332,198585
670777,106061,223047
637676,112681,249518
605924,116910,277042
575987,118978,304888
549341,118063,332452
526323,114856,358676
507905,109550,382412
493535,102935,403408
483240,94869,421753
476759,86744,436370
474190,78001,447686
474285,70338,455257
476741,62317,460824
481429,55252,463181
488127,48832,462915
496380,43105,460397
505595,38320,455982
515617,33890,450390
526060,29803,444038
537462,26603,435829
549097,23760,427015
560732,21148,417994
572739,18973,408147
585062,16994,397815
597117,15470,387286
608854,13934,377094
620554,12703,366631
632105,11511,356267
643616,10561,345705
654795,9672,335427
665682,9066,325135
676441,8443,314982
686830,7922,305114
696759,7500,295612
706729,7178,285984
716171,6901,276828
725244,6575,268074
734081,6335,259483
742702,6214,250988
750691,6114,243094
758443,6067,235383
765731,5993,228196
772944,5909,221066
779742,5977,214213
786409,5986,207541
792597,6135,201197
798661,6106,195165
804241,6203,189487
809737,6349,183854
814878,6536,178551
819576,6808,173575
824024,7146,168786
827892,7646,164414
831539,7984,160438
834855,8417,156702
837964,8930,153072
840447,9457,150080
842655,9985,147325
844457,10779,144734
845989,11570,142394
847008,12404,140534
847447,13346,139156
847513,14511,137933
846984,15723,137267
845763,17168,137027
844077,18595,137299
841590,20395,137978
838368,22184,139403
834623,24149,141204
829954,26254,143762
824494,28706,146765
818270,31175,150519
811274,33881,154814
803611,36637,159721
794938,39499,165511
785234,42655,172052
774940,45732,179257
763620,48848,187469
752068,51732,196144
740009,54417,205519
727751,56609,215596
715380,58877,225694
703206,60405,236328
691251,61597,247096
679870,62487,257573
669243,62893,267793
659622,62607,277690
650656,61962,287323
642871,60622,296431
636149,59166,304615
630325,57629,311959
625460,55823,318638
621930,53720,324271
619363,51261,329292
617946,48842,333110
617295,46643,335963
617719,44188,337988
618727,41959,339208
620765,39445,339667
623133,37435,339313
626308,35420,338161
630183,33541,336150
634330,31650,333887
639008,29936,330935
643814,28478,327602
648830,27241,323842
654046,25973,319883
659332,24881,315697
664837,23812,311265
670539,22688,306676
676379,21712,301817
681938,20950,297037
687313,20190,292434
692936,19523,287470
698484,18859,282585
704148,18245,277527
709828,17894,272197
715066,17491,267327
720053,17325,262503
725002,17161,257705
729924,16700,253236
734782,16574,248524
739351,16405,244132
743485,16414,239977
747586,16355,235935
751671,16327,231900
755342,16511,228050
758874,16616,224405
762110,16707,221069
765177,16912,217806
767864,17336,214691
770208,17757,211939
772522,18181,209210
774451,18736,206736
776009,19169,204738
777184,19759,202988
778145,20136,201646
778967,20519,200429
779355,21218,199344
779288,22119,198526
778973,23235,197715
778194,24014,197715
777102,24866,197943
775765,26079,198066
774135,26886,198871
772326,27793,199781
770135,28645,201123
767724,29708,202484
764979,30723,204222
762187,31651,206084
758959,32592,208377
755563,33681,210698
751979,34395,213575
748084,35351,216526
744103,36312,219552
739849,37195,222927
735317,38173,226491
731186,38702,230105
726936,39412,233635
722601,39860,237523
718217,40485,241274
713873,40853,245254
710058,40937,248973
706249,40934,252779
702627,40985,256356
699208,41241,259526
696117,41079,262767
693027,40983,265924
690396,40642,268883
687874,40350,271704
685840,39800,274287
683952,39256,276710
682481,38974,278460
681254,38462,280195
680329,37950,281635
679646,37328,282955
679111,36809,284015
678838,35945,285151
679179,35103,285644
679497,34550,285876
680131,33843,285954
681062,33320,285541
682376,32661,284886
683595,31782,284539
685189,31132,283602
686863,30428,282629
688494,30045,281388
690435,29510,279972
692228,28935,278757
694226,28556,277145
695957,28103,275841
697930,27838,274111
