90408,78,9517
90746,88,9169
91109,91,8800
91401,105,8486
91725,107,8153
92004,104,7876
92281,107,7599
92544,110,7334
92776,114,7099
93003,112,6871
93224,121,6644
93456,113,6419
93659,109,6218
93882,114,5990
94081,133,5770
94287,121,5574
94463,131,5383
94609,134,5231
94765,128,5080
94923,138,4908
95066,148,4758
95184,150,4637
95314,154,4497
95429,154,4383
95567,149,4253
95673,158,4140
95793,169,4017
95890,185,3910
95976,194,3812
96054,191,3731
96157,184,3638
96218,195,3564
96286,197,3488
96340,209,3418
96371,239,3354
96410,245,3306
96440,249,3271
96466,254,3241
96490,256,3213
96531,268,3168
96567,280,3118
96579,307,3081
96575,314,3079
96581,332,3058
96580,340,3053
96592,333,3050
96603,327,3049
96599,331,3051
96602,328,3044
96618,320,3036
96646,343,2979
96661,321,2980
96656,334,2971
96631,326,3004
96623,322,3016
96624,337,3001
96608,350,2998
96588,359,3009
96608,363,2983
96582,359,3010
96562,374,3019
96558,390,3006
96562,397,2994
96537,403,3013
96523,411,3014
96479,441,3033
96438,437,3087
96401,451,3109
96368,458,3140
96306,479,3179
96280,490,3195
96227,498,3239
96187,521,3255
96156,498,3307
96112,521,3330
96082,527,3356
96012,531,3423
95940,527,3503
95878,535,3557
95864,546,3559
95834,524,3610
95767,554,3647
95701,540,3728
95650,551,3770
95615,553,3801
95532,576,3858
95513,559,3895
95407,571,3990
95308,589,4069
95252,598,4111
95195,649,4115
95130,656,4175
95027,672,4253
94974,653,4325
94897,683,4372
94825,712,4417
94733,752,4473
94617,779,4559
94524,794,4632
94435,817,4701
94370,852,4728
94191,921,4840
94054,933,4970
93929,940,5095
93811,911,5243
93710,903,5355
93602,906,5468
93461,918,5596
93349,956,5673
93220,985,5774
93083,995,5901
92930,1017,6027
92854,1019,6100
92752,1040,6180
92613,1094,6264
92492,1123,6354
92340,1140,6485
92188,1134,6641
92082,1112,6763
92010,1098,6850
91901,1092,6961
91797,1051,7105
91683,1059,7209
91564,1037,7356
91514,1026,7414
91473,978,7504
91468,958,7531
91475,946,7542
91466,967,7534
91502,914,7552
91467,932,7567
91431,923,7613
91438,906,7625
91407,922,7639
91392,927,7653
91343,956,7669
91342,928,7703
91319,933,7721
91344,916,7716
91338,876,7762
91370,847,7752
91438,844,7690
91478,822,7672
91534,818,7619
91586,831,7558
91640,786,7544
91684,800,7484
91766,732,7466
91827,733,7400
91920,748,7296
91980,745,7243
92087,735,7151
92105,721,7145
92131,731,7107
92174,724,7075
92217,704,7051
92329,676,6974
92376,699,6905
92426,686,6867
92481,680,6827
92531,685,6765
92587,690,6705
92596,692,6696
92637,665,6684
92673,639,6678
92713,609,6665
92755,614,6618
92832,600,6555
92936,550,6499
