901906,96,48094
903808,100,46194
905716,112,44294
907418,120,42583
909029,114,40973
910662,125,39342
912194,121,37821
913668,141,36324
915099,153,34886
916425,168,33544
917749,175,32237
919013,173,30984
920226,168,29778
921352,176,28633
922410,175,27580
923393,194,26580
924412,186,25564
925347,196,24623
926307,212,23650
927239,236,22701
928076,238,21843
928832,252,21059
929578,254,20321
930302,282,19558
930904,326,18891
931494,332,18276
932103,360,17644
932650,365,17106
933173,391,16569
933690,427,16024
934234,456,15457
934649,495,14996
935051,509,14584
935451,547,14149
935808,602,13736
936114,650,13396
936406,655,13098
936665,693,12792
936937,756,12453
937105,800,12235
937277,858,12011
937377,905,11842
937438,1009,11671
937487,1043,11571
937491,1157,11455
937531,1224,11366
937493,1292,11336
937420,1367,11344
937311,1432,11376
937189,1516,11415
937079,1577,11461
936913,1620,11569
936643,1786,11659
936384,1948,11747
936057,2056,11972
935748,2160,12184
935392,2238,12470
935041,2423,12640
934611,2536,12957
934162,2643,13296
933703,2778,13613
933229,2899,13978
932668,3063,14370
932062,3267,14771
931376,3419,15304
930657,3630,15810
929930,3806,16373
929125,3965,17012
928261,4198,17628
927391,4335,18366
926527,4509,19028
925528,4709,19816
924448,5036,20566
923271,5325,21446
922197,5565,22290
921012,5847,23201
919716,6170,24185
918375,6398,25292
916941,6630,26478
915623,6882,27540
914098,7140,28815
912573,7266,30243
910953,7605,31508
909401,7949,32708
907686,8420,33956
905878,8616,35560
904189,8849,37024
902410,9174,38497
900557,9608,39928
898732,9895,41480
896888,10154,43046
895033,10310,44758
893354,10339,46410
891633,10533,47944
889810,10779,49524
887960,10952,51181
886124,10987,52975
884325,11094,54660
882773,11143,56173
881191,11298,57585
879585,11412,59094
878205,11387,60506
876773,11392,61925
875467,11276,63342
874432,11131,64524
873421,10986,65678
872409,11085,66582
871483,11051,67552
870629,10878,68564
869846,10820,69407
869323,10386,70370
868852,10161,71079
868380,10000,71709
868142,9689,72254
868090,9552,72433
868083,9154,72842
868132,8969,72958
868252,8875,72920
868426,8791,72824
868756,8554,72724
869134,8222,72664
869486,7896,72603
869953,7629,72385
870636,7440,71894
871262,7190,71525
872026,7034,70935
872899,6660,70430
873707,6461,69833
874576,6283,69141
875486,6081,68431
876303,6052,67648
877238,5713,67055
878226,5590,66191
879241,5344,65435
880318,5129,64591
881409,4966,63675
882433,4782,62842
883588,4618,61846
884708,4432,60923
885770,4275,59998
886949,4193,58915
888038,4044,57974
889265,3775,57019
890514,3639,55911
891808,3458,54811
892967,3347,53761
894110,3207,52765
895323,3095,51681
896491,2917,50674
897640,2833,49595
898850,2734,48490
899989,2641,47468
901095,2515,46487
902297,2371,45415
903319,2352,44392
904411,2256,43406
905535,2109,42431
906628,2065,41388
907685,1944,40458
908725,1849,39516
909817,1784,38468
910783,1680,37614
911883,1550,36668
912982,1444,35654
914021,1382,34664
915052,1323,33692
916105,1237,32710
917065,1159,31816
918020,1121,30904
919011,1073,29970
919903,1052,29081
920780,1021,28249
921614,1012,27419
922447,928,26669
923184,903,25960
923941,839,25266
924726,835,24494
925437,782,23831
926251,732,23074
927025,711,22326
927799,651,21615
928497,608,20961
929117,548,20362
929770,513,19726
930401,523,19080
930993,525,18474
931600,527,17864
932162,509,17321
932687,525,16780
933195,507,16289
933683,483,15820
934141,456,15397
934653,415,14921
935151,411,14426
935579,411,13989
936055,380,13540
936481,359,13132
936862,356,12760
937257,339,12390
937667,330,11988
938065,319,11616
938463,294,11256
938829,286,10899
939187,256,10591
939544,246,10240
939877,232,9927
940216,217,9619
940557,202,9289
940879,192,8974
941191,188,8680
941504,183,8377
941746,183,8118
942054,181,7827
942343,179,7548
942641,161,7300
942885,157,7075
943136,162,6833
943369,154,6603
943564,147,6403
943767,148,6183
943972,140,5977
944149,148,5784
944321,152,5596
944504,153,5420
944681,162,5225
944829,151,5091
944989,157,4920
945118,149,4803
945263,155,4654
945421,150,4514
945538,152,4403
945652,146,4302
945803,143,4172
945942,147,4036
946057,150,3918
946204,145,3782
946364,112,3674
946489,104,3558
946594,104,3441
946703,98,3338
946817,95,3230
946912,87,3131
946997,93,3036
947083,81,2951
947160,79,2867
947269,80,2752
947349,75,2681
947443,81,2596
947511,78,2530
947593,70,2453
947692,70,2362
947737,75,2302
947818,66,2243
947884,63,2184
947961,73,2105
948044,77,2025
948103,73,1975
948155,65,1920
948229,57,1872
948305,48,1818
948347,50,1766
948424,40,1706
948483,37,1657
948542,27,1607
948618,23,1542
948655,22,1490
948715,24,1436
948755,17,1390
948813,15,1335
948865,14,1278
948932,17,1224
948961,14,1182
948990,13,1139
949013,10,1118
949042,14,1088
949068,11,1048
949088,10,1020
949137,5,986
949158,5,954
949207,3,922
949250,3,886
949300,2,844
949321,2,822
949354,1,779
949389,1,753
949416,1,721
949432,1,702
949459,1,670
949493,2,638
949528,2,612
949572,1,578
949596,1,556
949633,0,531
949646,0,511
949660,0,497
949659,0,479
949706,0,455
949715,0,441
949733,0,428
949753,0,415
949776,0,398
949770,0,386
949791,0,368
949811,0,356
949828,0,338
949842,0,328
949852,0,322
949874,0,304
949895,0,287
949903,0,273
949917,0,266
949919,0,258
949917,0,253
949916,0,245
949908,0,241
949924,0,230
949929,0,219
949938,0,206
949947,0,199
949954,0,191
949951,0,183
949958,0,173
949972,0,166
949982,0,160
950010,0,150
