89928,135,38
89823,204,72
89661,303,134
89423,438,237
89125,599,382
88722,804,573
88163,1093,839
87446,1475,1179
86479,1986,1636
85173,2705,2220
83431,3637,3028
81150,4845,4104
78149,6459,5488
74439,8312,7345
69980,10281,9833
64933,12306,12858
59442,14225,16424
53863,15557,20671
48625,16527,24935
43832,16837,29421
39832,16182,34084
37001,15149,37946
35184,13436,41472
34099,11723,44263
33708,9962,46420
33958,8513,47621
34527,6985,48583
35422,5669,49004
36608,4596,48887
37942,3646,48504
39361,2937,47794
40889,2303,46906
42450,1863,45784
43989,1518,44589
45519,1183,43390
47104,886,42104
48651,691,40749
50186,563,39338
51680,425,37983
53228,343,36518
54679,273,35132
56084,211,33786
57423,163,32489
58653,144,31277
59926,125,30021
61146,100,28822
62264,84,27724
63409,66,26601
64471,70,25529
65458,69,24542
66392,64,23609
67290,53,22717
68157,61,21845
69007,75,20981
69786,61,20213
70622,51,19393
71455,44,18567
72212,53,17799
72850,47,17168
73503,49,16513
74180,55,15826
74787,64,15208
75372,66,14619
75930,70,14060
76529,74,13462
77027,77,12958
77482,92,12488
77893,105,12065
78332,128,11598
78694,145,11216
79057,161,10840
79370,201,10486
79670,250,10145
79957,291,9818
80158,362,9548
80326,421,9322
80521,474,9075
80615,592,8862
80605,735,8727
80582,851,8634
80449,1011,8605
80284,1154,8625
80018,1404,8642
79609,1753,8698
79016,2153,8891
78163,2641,9253
77160,3150,9746
75885,3783,10393
74312,4514,11237
72505,5217,12349
70485,6021,13567
68173,6825,15070
65658,7710,16703
63042,8465,18567
60416,9033,20625
57646,9603,22825
55069,9942,25065
52711,10010,27348
50560,9995,29518
48817,9656,31596
47395,9082,33592
